StorAll	Snow	Intercp	Surface	Soil	SoilL1	SoilL2	SoilL3	RZW	GW	ET	EvapS	EvapI	EvapT	Leakage	SrfOut	GWOut	AllOut	SrftoCh	GWtoCh	Rchrge
1	-nan	-nan	1	1	1	1	1	1	1	1	1	-nan	1	-nan	1	1	1	-nan	1.67516e-14	0
2	-nan	-nan	2	2	2	2	2	2	2	2	2	-nan	2	-nan	2	2	2	0	1	0
2.88947	-nan	-nan	2.99774	2.88947	2.23631	2.87093	2.99893	2.66239	2.9964	2.13361	2.18396	1	3	-nan	2.99552	2.99547	2.13362	-nan	1.99774	0
3.82326	-nan	-nan	3.99608	3.82326	2.89284	3.69896	3.99483	3.47805	3.99357	2.58508	2.86087	1	3.44358	-nan	3.99253	3.99244	2.5851	-nan	2.99607	0
4.82487	-nan	-nan	4.99603	4.82487	3.89275	4.69893	4.99483	4.4808	4.99358	4.10109	3.87948	-nan	4.19874	-nan	4.99254	4.99245	4.1011	-nan	3.99607	0
5.82635	-nan	-nan	5.99607	5.82635	4.89264	5.69891	5.99483	5.48335	5.9936	5.10971	4.88332	-nan	5.2014	-nan	5.99254	5.99245	5.10972	-nan	4.99607	0
6.8212	-nan	1	6.99608	6.8212	5.85249	6.69891	6.99483	6.46788	6.99361	4.46933	5.8302	1	6.18906	-nan	6.99255	6.99245	4.46937	-nan	5.99607	0
7.72504	-nan	-nan	7.99524	7.72504	6.2524	7.57025	7.98982	7.19464	7.99212	4.77872	6.21949	1.00199	7.15159	-nan	7.99088	7.99077	4.77877	-nan	6.99523	0
8.72694	-nan	-nan	8.99519	8.72694	7.25234	8.57022	8.98982	8.19793	8.99214	7.60054	7.22193	-nan	7.74845	-nan	8.99088	8.99077	7.60055	-nan	7.99524	0
9.72913	-nan	-nan	9.99524	9.72912	8.25216	9.57018	9.98982	9.20171	9.99216	8.6017	8.2362	-nan	8.75694	-nan	9.99089	9.99078	8.60172	-nan	8.99524	0
10.5791	-nan	-nan	10.9937	10.5791	8.32592	10.3442	10.98	9.77591	10.9895	7.07128	8.32507	1	9.74954	-nan	10.9881	10.9879	7.07133	-nan	9.99375	0
11.5825	-nan	-nan	11.9937	11.5825	9.32559	11.3441	11.98	10.7817	11.9895	9.85111	9.31962	-nan	10.1055	-nan	11.9881	11.9879	9.85113	-nan	10.9937	0
12.5857	-nan	-nan	12.9938	12.5857	10.3252	12.3441	12.98	11.7873	12.9895	10.8672	10.3178	-nan	11.113	-nan	12.9881	12.9879	10.8673	0	11.9937	0
13.5888	-nan	-nan	13.9938	13.5888	11.3249	13.344	13.98	12.7927	13.9895	11.8835	11.3158	-nan	12.1199	-nan	13.9881	13.9879	11.8835	0	12.9938	0
14.5917	-nan	-nan	14.9938	14.5917	12.3246	14.3439	14.98	13.7979	14.9896	12.9	12.3114	-nan	13.1258	-nan	14.9881	14.9879	12.9	0	13.9938	0
15.5947	-nan	-nan	15.9937	15.5947	13.3242	15.3438	15.98	14.8031	15.9896	13.9134	13.3153	-nan	14.1345	-nan	15.9881	15.9879	13.9135	0	14.9938	0
16.5974	-nan	-nan	16.9938	16.5974	14.3239	16.3438	16.98	15.8079	16.9896	14.9291	14.308	-nan	15.1386	-nan	16.9881	16.988	14.9291	0	15.9938	0
17.5998	-nan	-nan	17.9937	17.5998	15.3236	17.3437	17.98	16.8122	17.9896	15.9413	15.2967	-nan	16.1406	-nan	17.9881	17.988	15.9414	0	16.9938	0
18.3081	-nan	-nan	18.9935	18.3081	14.3931	18.0936	18.971	16.975	18.9891	11.7239	14.3449	1	17.1273	-nan	18.9872	18.9871	11.724	-nan	17.9935	0
18.9999	-nan	-nan	19.9887	18.9999	13.6741	18.409	19.9369	17.1117	19.9801	11.3327	13.6493	1	16.7678	-nan	19.978	19.9777	11.3328	-nan	18.9887	0
18.9378	-nan	-nan	20.9316	18.9378	10.3173	16.3048	20.6255	15.4312	20.8636	9.81266	10.2762	1	16.4966	-nan	20.8871	20.8857	9.81286	-nan	19.9316	0
19.9486	-nan	-nan	21.9316	19.9486	11.3165	17.3044	21.6255	16.4489	21.8641	13.1445	11.266	-nan	14.0576	-nan	21.8872	21.8858	13.1446	-nan	20.9316	0
20.9593	-nan	-nan	22.9316	20.9593	12.3157	18.304	22.6255	17.4665	22.8646	14.1882	12.2664	-nan	15.084	-nan	22.8872	22.8858	14.1884	-nan	21.9317	0
21.9699	-nan	-nan	23.9316	21.9699	13.3147	19.3036	23.6255	18.484	23.8651	15.2349	13.2683	-nan	16.1089	-nan	23.8873	23.8859	15.2351	0	22.9317	0
22.9804	-nan	-nan	24.9318	22.9804	14.3137	20.3032	24.6255	19.5015	24.8656	16.2828	14.272	-nan	17.1348	-nan	24.8874	24.8859	16.2829	0	23.9318	0
23.9896	-nan	-nan	25.9318	23.9896	15.313	21.3028	25.6255	20.5168	25.8661	17.3275	15.2428	-nan	18.133	-nan	25.8875	25.886	17.3276	0	24.9318	0
23.5947	-nan	-nan	26.8291	23.5947	10.9359	18.5726	26.1043	18.175	26.5913	10.9489	10.8771	1	19.0873	-nan	26.7344	26.7309	10.9492	-nan	25.829	0
23.86	-nan	-nan	27.7299	23.86	9.60027	17.3538	26.6983	17.5653	27.2579	9.43564	9.56545	1	15.7192	-nan	27.6006	27.5954	9.436	-nan	26.7298	0.00445976
24.8771	-nan	-nan	28.7295	24.8771	10.599	18.353	27.6982	18.5932	28.2614	13.358	10.5465	-nan	14.8201	-nan	28.6009	28.5957	13.3583	-nan	27.73	0
25.8954	-nan	-nan	29.73	25.8954	11.5973	19.352	28.6982	19.6231	29.2649	14.4195	11.5725	-nan	15.8836	-nan	29.6012	29.5959	14.4197	-nan	28.7301	0
26.9114	-nan	-nan	30.7298	26.9114	12.596	20.3512	29.6981	20.6493	30.2683	15.516	12.5391	-nan	16.8868	-nan	30.6015	30.5962	15.5163	-nan	29.7303	0
27.9266	-nan	-nan	31.7305	27.9266	13.5949	21.3505	30.6981	21.6743	31.2717	16.5669	13.5118	-nan	17.9046	-nan	31.6018	31.5964	16.5672	-nan	30.7305	0
28.9429	-nan	-nan	32.7301	28.9429	14.5934	22.3496	31.698	22.7012	32.2751	17.6281	14.518	-nan	18.973	-nan	32.6021	32.5967	17.6284	-nan	31.7306	0
29.9593	-nan	-nan	33.7304	29.9593	15.5917	23.3486	32.6979	23.7283	33.2785	18.7154	15.5259	-nan	20.021	-nan	33.6024	33.5969	18.7157	-nan	32.7308	0
