Precip	SWE	Intrcp	Surface	SoilW	SoilL1	SoilL2	SoilL3	RZW	GW	ET	EvapS	EvapI	EvapT	Leakage	SrfOut	GWOut	SrftoCh	GWtoCh	Rchrge	SatExt	MBErr	Age_MBE
0	0	0	0.381313	3.72314e+07	3.64189e+06	3.66403e+06	2.97823e+07	1.09595e+07	143143	56347.3	1550.18	0	54797.1	0	0.000147712	0.610673	0	0.381461	21462.5	0	0	-0.151116
0	0	0	0.39682	3.71714e+07	3.60306e+06	3.65067e+06	2.9775e+07	1.09064e+07	142599	116392	4351.99	0	112040	0	0.00029672	1.22294	4.52686e-09	0.765254	21462.5	0	-1.99813e-14	-0.156074
2.04347e+06	0	0	0.56847	3.91583e+07	4.92889e+06	4.11465e+06	2.98866e+07	1.27096e+07	228170	172944	23975.5	16491.2	132477	0	0.000572167	1.96019	4.52686e-09	1.334	107203	0	0	0.102981
2.92897e+06	0	0	0.671806	3.99805e+07	5.00609e+06	4.53702e+06	3.01608e+07	1.32434e+07	276556	236223	48140	32960.6	155123	0	0.000921816	2.75294	4.52686e-09	2.00616	155855	0	1.85261e-14	0.145979
2.92897e+06	0	0	0.697776	3.98918e+07	4.93733e+06	4.52342e+06	3.01555e+07	1.31603e+07	275609	324895	75261.4	32960.6	216673	0	0.00127428	3.5476	4.52686e-09	2.6839	155855	0	-9.26304e-14	0.0701425
2.92897e+06	0	0	0.695191	3.98091e+07	4.87382e+06	4.51031e+06	3.01503e+07	1.3083e+07	274695	407643	99114.8	32960.6	275568	0	0.00162961	4.34419	4.52686e-09	3.36734	155855	0	-7.41043e-14	0.0228375
2.98563e+06	0	32.5683	0.690249	3.98128e+07	4.88363e+06	4.50611e+06	3.01486e+07	1.30884e+07	274440	460596	116914	49279	294402	0	0.00198865	5.14326	4.52686e-09	4.05795	155855	0	3.7e-14	0.000223039
3.55326e+06	0	0	0.732636	4.03314e+07	5.02389e+06	4.65008e+06	3.03657e+07	1.34007e+07	291731	509623	133579	65670.6	310373	0	0.0023864	5.96779	4.52686e-09	4.79098	173345	0	1.82429e-14	0.0338564
3.55326e+06	0	0	0.757929	4.02633e+07	4.97185e+06	4.63906e+06	3.03614e+07	1.33371e+07	290960	577689	152701	65670.6	359318	0	0.00278748	6.79437	4.52686e-09	5.53065	173345	0	0	0.0108855
3.55326e+06	0	0	0.753633	4.01854e+07	4.91201e+06	4.62667e+06	3.03567e+07	1.32642e+07	290066	655610	175930	65670.6	414010	0	0.00319172	7.6229	4.52686e-09	6.27672	173345	0	0	-0.00984363
4.17765e+06	0	0	0.803044	4.07401e+07	5.01523e+06	4.75521e+06	3.06551e+07	1.35347e+07	314640	725266	206560	82005.7	436700	0	0.00364501	8.48102	4.52686e-09	7.08022	198278	0	1.79682e-14	0.04148
4.17765e+06	0	0	0.824059	4.06618e+07	4.95456e+06	4.74302e+06	3.06505e+07	1.34612e+07	313719	803634	231929	82005.7	489699	0	0.00410179	9.34109	4.52686e-09	7.89086	198278	0	0	0.0215816
4.17765e+06	0	0	0.825103	4.05855e+07	4.89607e+06	4.73082e+06	3.06459e+07	1.33899e+07	312791	879860	255485	82005.7	542370	0	0.00456205	10.2031	3.24498e-08	8.70868	198278	0	-1.79682e-14	0.00525648
4.17765e+06	0	0	0.839019	4.05118e+07	4.84003e+06	4.71867e+06	3.06413e+07	1.33212e+07	311863	953582	277159	82005.7	594417	0	0.0050258	11.0671	9.61352e-08	9.53371	198278	0	-1.79682e-14	-0.00822005
4.17765e+06	0	0	0.83976	4.04417e+07	4.78728e+06	4.70676e+06	3.06367e+07	1.32559e+07	310951	1.02367e+06	296593	82005.7	645074	0	0.00549308	11.933	5.14344e-07	10.366	198278	0	5.39045e-14	-0.019248
4.17765e+06	0	0	0.85833	4.03704e+07	4.7339e+06	4.69444e+06	3.0632e+07	1.31896e+07	309993	1.09502e+06	315851	82005.7	697168	0	0.00596384	12.8009	1.26286e-06	11.2056	198278	0	5.39045e-14	-0.0290556
4.17765e+06	0	0	0.852882	4.03045e+07	4.68512e+06	4.68271e+06	3.06275e+07	1.31285e+07	309087	1.16093e+06	332472	82005.7	746449	0	0.00643816	13.6707	2.09547e-06	12.0525	198278	0	0	-0.0368878
4.17765e+06	0	0	0.872114	4.02449e+07	4.64143e+06	4.6718e+06	3.06234e+07	1.30734e+07	308255	1.22054e+06	346547	82005.7	791987	0	0.00691615	14.5425	2.90499e-06	12.907	198278	0	-1.79682e-14	-0.0429664
4.85881e+06	0	0	0.868368	4.08648e+07	5.00737e+06	4.75492e+06	3.07912e+07	1.35447e+07	311292	1.28177e+06	371650	98190	811931	0	0.0074106	15.4234	2.90499e-06	13.7758	201664	0	-1.76778e-14	-0.0025629
