Precipitation	Canopy Storage	SWE	Soil water < fc	Evapotranspiration	Bedrock leakage	Overland flow	Groundwater flow	Mass Balance Error
0	0	0	7.13666e+07	64322.7	0	173.542	3.00533	1.04299e-13
0	0	0	7.12865e+07	143620	0	341.658	6.01066	1.87739e-13
2.05169e+06	0	0	7.31564e+07	227459	0	9240.52	9.01599	2.02775e-14
2.94076e+06	0	0	7.38014e+07	341192	0	48618	12.0213	1.60281e-13
2.94076e+06	0	0	7.35891e+07	554945	0	91463.3	15.0267	1.80316e-13
2.94076e+06	0	0	7.34091e+07	736037	0	125693	18.032	1.40246e-13
2.99764e+06	35.2442	0	7.3377e+07	816368	0	152529	21.0373	2.20218e-13
3.56755e+06	0	0	7.37852e+07	881169	0	188806	24.0426	3.97353e-14
3.56755e+06	0	0	7.36656e+07	995502	0	223047	27.048	1.19206e-13
3.56755e+06	0	0	7.34846e+07	1.17716e+06	0	249911	30.0533	1.19206e-13
